ID,Title,SortTitle,Filed As,CallNum,IsPartOf,Related,issn,eissn,country,provState,cityTown,location,holdingCoverage,contentStart,contentEnd,gaps,pubDate,pubHistoryImage,notesTitle,frequency,localNotes,Column,Column2,First Issue Verbatim Date,First Issue Start Date,First Issue End Date,Last Issue Verbatim Date,Last Issue Start Date,Last Issue End Date
76,"The Tribune (Bathurst, New Brunswick : 1973)","Tribune (Bathurst, New Brunswick : 1973)",Bathurst Tribune,,76,N,0841-7792,,CA,NB,Bathurst,HIL-MIC,"May 2, 1973 - Mar 15, 1978",1973-05-02,1978-03-15,N,"May 2, 1973 - Mar 15, 1978",N,,Weekly,"French language supplements the Tribune and the Tribune du Nord-Est are filmed as well from Feb. 19, 1975 - Dec. 29, 1976.|There is no volume or number on issues for 1976-1978.",,,02-May-73,02/05/1973,,15-Mar-78,15/03/1978,
77,La Tribune Chaleur ,Tribune Chaleur ,Bathurst Tribune,,76,Y,,,CA,NB,Bathurst,HIL-MIC,"July 26, 1972 - Feb 12, 1975",1972-07-26,1975-02-12,N,"July 26, 1972 - Feb 12, 1975",N,French language supplement to the Bathurst Tribune.,,,,,26-Jul-72,26/07/1972,,12-Feb-75,12/02/1975,
78,L'Analyste,Analyste,Reflet du Nord,,78,N,1490-8018,,CA,NB,Tracadie,HIL-MIC,"June 23, 1971 - Sept 12, 1972",1971-06-23,1972-09-12,N,"June 23, 1971 - Sept 12, 1972",N,,,,,,23-Jun-71,23/06/1971,,12-Sep-72,12/09/1972,
79,Fundy Fisherman,Fundy Fisherman,Fundy Fisherman,,79,N,1483-5665,,CA,NB,Black's Harbour,HIL-MIC,"June 12, 1929 - July 30, 1969",1929-06-12,1969-07-30,N,"June 12, 1929 - July 30, 1969",N,"Variant title: Fundy Fisherman of Black's Harbour, Charlotte County, N.B.",Weekly,,,,12-Jun-29,12/06/1929,,30-Jul-69,30/07/1969,
80,Campbellton Tribune (1986),Campbellton Tribune (1986),Tribune,,82,N,1484-1959,,CA,NB,Campbellton,HIL-MIC,"Jan 15, 1986 - Dec 28, 1988",1986-01-15,1988-12-28,N,"Jan 15, 1986 - Dec 28, 1988",N,,Weekly,,,,15-Jan-86,15/01/1986,,28-Dec-88,28/12/1988,
81,La Tribune du Nord-Est,Tribune du Nord-Est,Bathurst Tribune,,76,Y,,,CA,NB,Bathurst,HIL-MIC,"Feb 19, 1975 - Dec 29, 1976",1975-02-19,1976-12-29,N,"Feb 19, 1975 - Dec 29, 1976",N,"French language supplement to the Tribune (Bathurst, New Brunswick).",,,,,19-Feb-75,19/02/1975,,29-Dec-76,29/12/1976,
82,"Tribune (Campbellton, New Brunswick : 1989)","Tribune (Campbellton, New Brunswick : 1989)",Tribune,,82,N,1484-1967,,CA,NB,Campbellton,HIL-MIC,"Jan 4, 1989 - Dec 29, 2004",1989-01-04,2004-12-29,N,1989 - Current,N,,Weekly,,,,1989,01/01/1989,31/12/1989,Present,,
83,"Tribune (Campbellton, New Brunswick : 1905)","Tribune (Campbellton, New Brunswick : 1905)",Tribune,,82,N,0841-8616,,CA,NB,Campbellton,HIL-MIC,"[Sept 23, 1914 - Feb 2, 1916]",1914-09-23,1916-02-02,Y,1905 - 1926,N,,Weekly,,,,1905,01/01/1905,31/12/1905,1926,01/01/1926,12/07/1928
84,Le Reflet du Nord,Reflet du Nord,Reflet du Nord,,78,N,1490-800X,,CA,NB,Tracadie,HIL-MIC,"May 1969 - Feb 4, 1971",1969-05-01,1971-02-04,N,"May 1969 - Feb 4, 1971",N,,,,,,May-69,,,04-Feb-71,04/02/1971,
85,Campbellton Tribune (1926),Campbellton Tribune (1926),Tribune,,82,N,0841-8624,,CA,NB,Campbellton,HIL-MIC,"Apr 28, 1926 - Dec 31, 1947; Jan 11, 1949 - Jan 24, 1951; Jan 11, 1953 - Dec 31, 1953; Jan 11, 1956 - Nov 13, 1963",1926-04-28,1963-11-13,Y,"1926 - Nov 13, 1963",N,,Weekly,Many missing issues before 1956.,,,1926,01/01/1926,31/12/1926,13-Nov-63,13/11/1963,
86,Le Voilier,Voilier,Voilier,,86,N,0383-6444,,CA,NB,Caraquet,HIL-MIC,"Aug 1965 - Dec 8, 1982 ",1965-08-01,1982-12-08,N,"Aug 1965 - Sept 7, 1983",N,,,French language newspaper.,,,Aug-65,01/08/1965,31/08/1965,07-Sep-83,07/09/1983,
87,Chatham Gazette,Chatham Gazette,Chatham Gazette,,87,N,0841-8861,,CA,NB,Chatham,HIL-MIC,"Oct 1, 1917 - July 30, 1957; July 6, 1960 - June 28, 1961",1917-10-01,1961-06-28,Y,"Oct 1, 1917 - June 28, 1961",N,,"Tri-weekly Oct 1917 - June 1949; 2x/week July 1949 - 1960; Weekly 1960 0 June 28, 1961",,,,01-Oct-17,01/10/1917,,28-Jun-61,28/06/1961,
88,Commercial and the World,Commercial and the World,"Commercial, reels 14-31",,88,N,,,CA,NB,Chatham,HIL-MIC,"Mar 26, 1929 - Dec 24, 1963",1929-03-26,1963-12-24,N,"Mar 26, 1929 - Sept? 1964",N,,Weekly,Supplement: Nugget Extra is filmed along with the Nugget.,,,26-Mar-29,26/03/1929,,Sept? 1964,01/09/1964,30/09/1964
89,Nugget,Nugget,Nugget,,88,N,,,CA,NB,Chatham,HIL-MIC,Dec 1897; Feb - June 1898,1897-12-01,1898-06-01,N,Dec 1897 - June 1898,N,,Monthly,v.1 no.1-6.|Supplement: Nugget Extra is filmed along with the Nugget. ,,,Dec 1897 ,01/12/1897,31/12/1897,June 1898,01/06/1898,30/06/1898
90,Nugget Extra,Nugget Extra,Nugget,,88,Y,,,CA,NB,Chatham,HIL-MIC,"May 7, 12, 14, 17, 19, 21, 28, 1898",1898-05-07,1898-05-28,Y,"May 7 - 28, 1898",N,"Supplement to the Nugget (Chatham, New Brunswick)",,Supplement: Nugget Extra is filmed along with the Nugget.,,,"May 7, 1898",07/05/1898,,"May 28, 1898",28/05/1898,
91,"Gazette (Chatham, New Brunswick)","Gazette (Chatham, New Brunswick)",Chatham Gazette,,87,N,0841-8853,,CA,NB,Chatham,HIL-MIC,"Aug 1, 1910 - Sept 28, 1917 ",1910-08-01,1917-09-28,N,"July 27, 1910 - Sept 28, 1917",N,,Tri-weekly,,,,27-Jul-10,27/07/1910,,28-Sep-17,28/09/1917,
92,"The Gleaner and Counties of Northumberland, Kent, Gloucester, Restigouche, Gaspe and Bonaventure Agricultural, Commercial, Political and Local News Journal","Gleaner and Counties of Northumberland, Kent, Gloucester, Restigouche, Gaspe and Bonaventure. Agricultural, Commercial, Political and Local News Journal",Gleaner and Northumberland Schediasma,,97,N,,,CA,NB,Chatham,HIL-MIC,"[Feb 17, 1866 - Dec 27, 1873]",1866-02-17,1873-12-27,Y,"Feb 17, 1866 - Dec 27, 1873",N,,Weekly,,,,"Feb 17, 1866 ",17/02/1866,,"Dec 27, 1873",27/12/1873,
93,The Gleaner and Northumberland Schediasma,Gleaner and Northumberland Schediasma,Gleaner and Northumberland Schediasma,,97,N,1487-1076,,CA,NB,Chatham,HIL-MIC,"[July 28, 1829 - Sept 1, 1835]",1829-07-28,1835-09-01,Y,"July 28, 1829 - Sept 1, 1835",N,,Weekly,,,,"July 28, 1829 ",28/07/1829,,"Sept 1, 1835",01/09/1835,
94,"The Gleaner and Northumberland, Kent and Gloucester Schediasma","Gleaner and Northumberland, Kent and Gloucester Schediasma",Gleaner and Northumberland Schediasma,,97,N,1487-1084,,CA,NB,Chatham,HIL-MIC,"[Sept 8, 1835 - Sept 1, 1838]",1835-09-08,1838-09-01,Y,"Sept 8, 1835 - Sept 1, 1838",N,,Weekly,,,,"Sept 8, 1835 ",08/09/1835,,"Sept 1, 1838",01/09/1838,
95,"The Gleaner and Northumberland, Kent, Gloucester and Restigouche Commercial and Agricultural Journal","Gleaner and Northumberland, Kent, Gloucester and Restigouche Commercial and Agricultural Journal",Gleaner and Northumberland Schediasma,,97,N,1486-7958,,CA,NB,Chatham,HIL-MIC,"[Sept 27, 1842 - Dec 30, 1865]",1842-09-27,1865-12-30,Y,"Sept 27, 1842 - Dec 30, 1865",N,,Weekly,,,,"Sept 27, 1842 ",27/09/1842,,"Dec 30, 1865",30/12/1865,
96,"The Gleaner and Northumberland, Kent, Gloucester and Restigouche Schediasma","Gleaner and Northumberland, Kent, Gloucester and Restigouche Schediasma",Gleaner and Northumberland Schediasma,,97,N,1487-1092,,CA,NB,Chatham,HIL-MIC,"[Sept 25, 1838 - Sept 20, 1842]",1838-09-25,1842-09-20,Y,"Sept 25, 1838 - Sept 20, 1842",N,,Weekly,,,,"Sept 25, 1838 ",25/09/1838,,"Sept 20, 1842",20/09/1842,
97,"The Gleaner: A Literary, Political and General News Journal","Gleaner: A Literary, Political and General News Journal",Gleaner and Northumberland Schediasma,,97,N,,,CA,NB,Chatham,HIL-MIC,"[June 28, 1879 - Apr 17, 1880]",1879-06-28,1880-04-17,Y,"June 28, 1879 - Apr 17, 1880",N,,Weekly,,,,"June 28, 1879 ",28/06/1879,,"Apr 17, 1880",17/04/1880,
98,"The Gleaner: A Literary, Political, Agricultural, Commercial and General News Journal","Gleaner: A Literary, Political, Agricultural, Commercial and General News Journal",Gleaner and Northumberland Schediasma,,97,N,,,CA,NB,Chatham,HIL-MIC,"[Dec 7, 1878 - Mar 8, 1879]",1878-12-07,1879-03-08,Y,"Dec 7, 1878 - Mar 8, 1879",N,,Weekly,,,,"Dec 7, 1878 ",07/12/1878,,"Mar 8, 1879",08/03/1879,
99,The Mercury,Mercury,Mercury Miramichi,,97,N,1487-1718,,CA,NB,Chatham,HIL-MIC,"[Feb 21, 1826 - Mar 31, 1829]",1826-02-21,1829-03-31,Y,"Feb 21, 1826 - Mar 31, 1829",N,Variant title Miramichi Mercury. ,Weekly,,,,"Feb 21, 1826 ",21/02/1826,,"Mar 31, 1829",31/03/1829,
100,Miramichi Advance,Miramichi Advance,Miramichi Advance ,,100,N,1483-9490,,CA,NB,Chatham,HIL-MIC,"Dec 28, 1876 - Nov 10, 1904",1876-12-28,1904-11-10,N,"Dec 28, 1876 - Nov 10, 1904",N,,Weekly,,,,"Dec 28, 1876 ",28/12/1876,,10-Nov-04,10/11/1904,
101,"The Star (Fredericton, New Brunswick)","Star (Fredericton, New Brunswick)",Morning Star,,106,N,1483-3026,,CA,NB,Fredericton,HIL-MIC,"[Aug 12, 1879 - July 29, 1880]",1879-08-12,1880-07-29,Y,"Mar? 1879 - July 29, 1880",N,,Tri-weekly,Poor condition.,,,Mar? 1879 ,01/03/1879,31/03/1879,"July 29, 1880",29/07/1880,
102,North Star,North Star,North Star,,106,N,1483-3034,,CA,NB,Chatham,HIL-MIC,"Sept 1, 1880, Sept 8, 1800",1880-09-01,1880-09-08,N,"Sept 1, 1880 - Sept 8, 1800",N,,,Poor condition.,,,"Sept 1, 1880 ",01/09/1880,,"Sept 8, 1800",08/09/1800,
103,Morning Star,Morning Star,Morning Star,,106,N,1483-3018,,CA,NB,Fredericton,HIL-MIC,"[Oct 10, 1878 - Apr 26, 1879]",1878-10-10,1879-04-26,Y,"Oct 10, 1878 - Apr 26, 1879",N,,Tri-weekly,Poor condition.,,,"Oct 10, 1878 ",10/10/1878,,"Apr 26, 1879",26/04/1879,
104,The Commercial,Commercial,"Commercial, reels 1-14 ",,88,N,,,CA,NB,Chatham,HIL-MIC,"Sept 6, 1898 - Mar 19, 1929",1898-09-06,1929-03-19,N,"Sept 6, 1898 - Mar 19, 1929",N,,Weekly,Supplement: Nugget Extra is filmed along with the Nugget.,,,"Sept 6, 1898 ",06/09/1898,,19-Mar-29,19/03/1929,
105,St. Lawrence Advance,St. Lawrence Advance,Miramichi Advance ,,100,N,1194-1901,,CA,NB,Chatham,HIL-MIC,"Nov 27, 1874 - Dec 4, 1874; May 12, 1876 - Dec 7, 1876",1874-11-27,1876-12-07,Y,"Nov 6? 1874 - Dec 21, 1876",N,,Weekly,,,,Nov 6? 1874 ,06/11/1874,,"Dec 21, 1876",21/12/1876,
106,"The Star (Chatham, New Brunswick) ","Star (Chatham, New Brunswick) ",North Star,,106,N,1483-3042,,CA,NB,Chatham,HIL-MIC,"[Sept 15, 1880 - Nov 23, 1881]",1880-09-15,1881-11-23,Y,"Sept 15, 1880 - Nov 23, 1881?",N,,2x/week,Poor condition.|Not filmed in chronological order.,,,"Sept 15, 1880 ",15/09/1880,,"Nov 23, 1881?",23/11/1881,
107,The World,World,World,,88,N,,,CA,NB,Chatham,HIL-MIC,"Jan 18, 1882 - Mar 23, 1929",1882-01-18,1929-03-23,N,"Jan 18, 1882 - Mar 23, 1929",N,,2x/week,v.1 was call The Chatham World.|Supplement: Nugget Extra is filmed along with the Nugget. ,,,"Jan 18, 1882 ",18/01/1882,,23-Mar-29,23/03/1929,
108,Grand Lake Mirror (1970),Grand Lake Mirror (1970),Grand Lake Mirror,,108,N,0844-0670,,CA,NB,Chipman,HIL-MIC,June 1970 - May 1971; Sept 1971 - Sept 1974,1970-06-01,1974-09-01,Y,June 1970 - May 1971; Sept 1971 - Sept 1974,N,,Monthly,There is a break in publication from June - Aug 1971.|Erratic numbering.,,,Jun-70,01/06/1970,30/06/1970,May-71,01/05/1971,31/05/1971
109,I Need a Name,I Need a Name,Grand Lake Mirror,,108,N,,,CA,NB,Chipman,HIL-MIC,May-70,1970-05-01,1970-05-01,N,May-70,N,,Monthly,,,,May-70,01/05/1970,31/05/1970,,,
110,"The Spectator (Dorchester, New Brunswick)","Spectator (Dorchester, New Brunswick)",Spectator,,110,N,,,CA,NB,Dorchester,HIL-MIC,"July 10, 1897 - Apr 16, 1898",1897-07-10,1898-04-16,N,"July 10, 1897 - Apr 16, 1898",N,,Weekly,,,,"July 10, 1897 ",10/07/1897,,"Apr 16, 1898",16/04/1898,
111,Le Madawaska,Madawaska,Madawaska,,111,N,1484-172X,,CA,NB,Edmundston,HIL-MIC,"Nov 27, 1913 - Dec 28, 1973",1913-11-27,1973-12-28,N,"Nov 27, 1913 - Current ",N,,Weekly,French language newspaper containing a small English section.,,,27-Nov-13,27/11/1913,,Present,,
112,The Capital (1887),Capital (1887),Capital,,128,N,,,CA,NB,Fredericton,HIL-MIC,"Jan 22, 1887 - Dec 7, 1889",1887-01-22,1889-12-07,N,"Jan 22, 1887 - Dec 7, 1889",Y,,Weekly,,,,"Jan 22, 1887 ",22/01/1887,,"Dec 7, 1889",07/12/1889,
113,Butler's Journal,Butler's Journal,Butler's Journal,,113,N,,,CA,NB,Fredericton,HIL-MIC,July 1890 - June 1903,1890-07-01,1903-06-01,N,July 1890 - Apr 1915,N,,Monthly,,,,July 1890 ,01/07/1890,31/07/1890,Apr-15,01/04/1915,30/04/1915
114,The Capital (1880),Capital (1880),Capital,,128,N,,,CA,NB,Fredericton,HIL-MIC,"Sept 14, 1880 - Sept 8, 1881",1880-09-14,1881-09-08,N,"Sept 14, 1880 - Sept 8, 1881",Y,,"Tri-weekly Sept 11, 1880 - Sept 8?, 1881; Weekly Jan 22, 1887 - Dec 7, 1889",,,,"Sept 14, 1880 ",14/09/1880,,"Sept 8, 1881",08/09/1881,
115,Capital Free Press,Capital Free Press,Capital Free Press,,116,N,1483-040X,,CA,NB,Fredericton,HIL-MIC,"Nov 10, 1949 - May 1, 1958",1949-11-10,1958-05-01,N,"Nov 10, 1949 - May 1, 1958",Y,"The Capital Free Press merges with the Weekly Press (not in our collection) to form the Capital Weekly Free Press (Fredericton, New Brunswick) ",Weekly; 2x/week Feb-Oct 1952,,,,10-Nov-49,10/11/1949,,01-May-58,01/05/1958,
116,Capital Weekly Free Press,Capital Weekly Free Press,Capital Free Press,,116,N,,,CA,NB,Fredericton,HIL-MIC,"May 8, 1958 - Mar 22, 1962",1958-05-08,1962-03-22,N,"May 8, 1958 - Mar 22, 1962",Y,"The Capital Weekly Free Press was formed by the union of The Capital Free Press (Fredericton, New Brunswick) and the Weekly Press (not in our collection). ",Weekly,,,,08-May-58,08/05/1958,,22-Mar-62,22/03/1962,
117,"L'Evangeline (Moncton, New Brunswick : 1944)","Evangeline (Moncton, New Brunswick : 1944)",Evangeline,,169,N,,,CA,NB,Moncton,HIL-MIC,"Mar 9, 1944 - Aug 4, 1970",1944-03-09,1970-08-04,N,"Mar 9, 1944 - Aug 4, 1970",Y,,Weekly,French language newspaper.,,,09-Mar-44,09/03/1944,,04-Aug-70,04/08/1970,
118,Events,Events,Events,,119,N,1483-3794,,CA,NB,Campbellton,HIL-MIC,"Apr 16, 1903 - Nov 12, 1908",1903-04-16,1908-11-12,N,1899 - Nov 1908,N,,2x/week,Some missing issues. ,,,1899,01/01/1899,31/12/1899,Nov-08,01/11/1908,30/11/1908
119,Campbellton Graphic,Campbellton Graphic,Campbellton Graphic,,119,N,0841-9167,,CA,NB,Campbellton,HIL-MIC,"Jan 2, 1909 - Nov 10, 1983",1909-01-02,1983-11-10,N,"Jan 2, 1909 - Nov 10, 1983",N,,2x/week,No volume or numbers for 1909-1911; continues the numbering of Events; some volume numbering is repeated 1872-1883; other errors in numbering as well. ,,,02-Jan-09,02/01/1909,,10-Nov-83,10/11/1983,
120,The Fredericton Capital,Fredericton Capital,Capital,,128,N,,,CA,NB,Fredericton,HIL-MIC,"May 5, 1886 - Jan 15, 1887",1886-05-05,1887-01-15,N,"May 5, 1886 - Jan 15, 1887",Y,,Weekly,,,,"May 5, 1886 ",05/05/1886,,"Jan 15, 1887",15/01/1887,
121,The Fredericton Evening Capital,Fredericton Evening Capital,Capital,,128,N,,,CA,NB,Fredericton,HIL-MIC,"Sept 15, 1881 - May 8, 1886",1881-09-15,1886-05-08,N,"Sept 15, 1881 - May 8, 1886",Y,The Fredericton Evening Capital merged with the Weekly Capital (not in our collection) to form The Fredericton Capital.,Tri-weekly,,,,"Sept 15, 1881 ",15/09/1881,,"May 8, 1886",08/05/1886,
122,Fredericton Globe,Fredericton Globe,Fredericton Globe,,122,N,1483-2186,,CA,NB,Fredericton,HIL-MIC,"[June 6, 1891 - Dec 16, 1893]",1891-06-06,1893-12-16,Y,1890 - 1893,N,,Weekly,,,,1890,01/01/1890,31/12/1890,1893,01/01/1893,12/07/1895
123,Fredericton Telegraph,Fredericton Telegraph,Fredericton Telegraph,,123,N,,,CA,NB,Fredericton,HIL-MIC,"Aug 6, 1806 - Feb 7, 1807",1806-08-06,1807-02-07,N,"Aug 6, 1806 - Feb 7, 1807",N,,Weekly,,,,"Aug 6, 1806 ",06/08/1806,,"Feb 7, 1807",07/02/1807,
124,"Daily Mail (Fredericton, New Brunswick)","Daily Mail (Fredericton, New Brunswick)",Daily Mail,,124,N,,,CA,NB,Fredericton,HIL-MIC,"Mar 8, 1910 - Dec 31, 1920",1910-03-08,1920-12-31,N,"Mar 8, 1910 - May 16, 1939",N,,Daily,,,,08-Mar-10,08/03/1910,,16-May-39,16/05/1939,
125,The Head Quarters,Head Quarters,Head Quarters,,125,N,1186-5571,,CA,NB,Fredericton,HIL-MIC,"[1853 - Nov 18, 1868]",1853-01-01,1868-11-18,Y,1853 - 1876?,N,,Weekly,"Frequent missing issues, especially in 1863.",,,1853,01/01/1853,31/12/1853,1876?,01/01/1876,
126,"The Head Quarters or Literary, Commercial, and Agricultural Journal","Head Quarters or Literary, Commercial, and Agricultural Journal",Head Quarters,,125,N,1186-5563,,CA,NB,Fredericton,HIL-MIC,"[Apr 10, 1884 - Feb 16, 1853]",1884-04-10,1853-02-16,Y,"July 25?, 1843 - 1853?",N,,Weekly,"Frequent missing issues, especially in 1847, 1848 and 1852.",,,"July 25?, 1843 ",25/07/1843,12/07/1855,1853?,01/01/1853,
127,"Loyalist and Conservative (Saint John, New Brunswick : 1846)","Loyalist and Conservative (Saint John, New Brunswick : 1846)",Loyalist,,223,N,,,CA,NB,Saint John,HIL-MIC,"July 9, 1846 - Dec 30, 1847",1846-07-09,1847-12-30,N,"July 9, 1846 - Dec 30, 1847",N,,Weekly,,,,"July 9, 1846 ",09/07/1846,,"Dec 30, 1847",30/12/1847,
128,"The Herald (Fredericton, New Brunswick)","Herald (Fredericton, New Brunswick)",Herald (Fredericton),,128,N,1483-9393,,CA,NB,Fredericton,HIL-MIC,"Dec 14, 1889 - Oct 13, 1905",1889-12-14,1905-10-13,N,"Dec 14, 1889 - Sept 1909",Y,,"Weekly Dec 14, 1889 - Dec 1895; 2x/week Jan 1896 - 1909",,,,"Dec 14, 1889 ",14/12/1889,,Sep-09,01/09/1909,30/09/1909
129,"Loyalist (Saint John, New Brunswick : 1842) ","Loyalist (Saint John, New Brunswick : 1842) ",Loyalist,,223,N,,,CA,NB,Saint John,HIL-MIC,"Oct 13, 1842 - May 4, 1843",1842-10-13,1843-05-04,N,"May 14, 1842 - May 4, 1843",N,,Weekly,,,,"May 14, 1842 ",14/05/1842,,"May 4, 1843",04/05/1843,
130,"Loyalist and Conservative (Fredericton, New Brunswick : 1846)","Loyalist and Conservative (Fredericton, New Brunswick : 1846)",Loyalist,,223,N,,,CA,NB,Fredericton,HIL-MIC,"Jan 1, 1846 - June 30, 1846",1846-01-01,1846-06-30,N,"Jan 1, 1846 - June 30, 1846",N,,Weekly,,,,"Jan 1, 1846 ",01/01/1846,,"June 30, 1846",30/06/1846,
131,Loyalist and Conservative Advocate,Loyalist and Conservative Advocate,Loyalist,,223,N,,,CA,NB,Fredericton,HIL-MIC,"May 25, 1843 - Dec 25, 1845",1843-05-25,1845-12-25,N,"May 25, 1843 - Dec 25, 1845",N,,Weekly,,,,"May 25, 1843 ",25/05/1843,,"Dec 25, 1845",25/12/1845,
132,Maritime Farmer,Maritime Farmer,Maritime Farmer,,132,N,1484-1266,,CA,NB,Fredericton,HIL-MIC,"Sept 13, 1879 - Apr 24, 1889",1879-09-13,1889-04-24,N,"Sept 13, 1879 - Apr 24, 1889",N,,Weekly,,,,"Sept 13, 1879 ",13/09/1879,,"Apr 24, 1889",24/04/1889,
133,Name Me,Name Me,Capital Free Press,,116,N,,,CA,NB,Fredericton,HIL-MIC,"Oct 13, 1949 - Nov 3, 1949",1949-10-13,1949-11-03,N,"Oct 13, 1949 - Nov 3, 1949",Y,,Weekly,,,,13-Oct-49,13/10/1949,,03-Nov-49,03/11/1949,
134,New Brunswick Reporter and Fredericton Advertiser,New Brunswick Reporter and Fredericton Advertiser,Reporter and Fredericton Advertiser,,138,N,,,CA,NB,Fredericton,HIL-MIC,"Nov 23, 1844 - Mar 10, 1888",1844-11-23,1888-03-10,N,"Nov 23, 1844 - Mar 10, 1888",N,,Weekly,,,,"Nov 23, 1844 ",23/11/1844,,"Mar 10, 1888",10/03/1888,
135,New Brunswick Reporter and Temperance Journal,New Brunswick Reporter and Temperance Journal,Reporter and Fredericton Advertiser,,138,N,,,CA,NB,Fredericton,HIL-MIC,"Mar 17, 1888",1888-03-17,1888-03-17,N,"Mar 17, 1888",N,,,,,,"Mar 17, 1888",17/03/1888,,,,
136,Le Monde ,Monde ,Le Monde ,,136,N,0395-2037,,FR,,Paris,HIL-MIC,Jan 1969 - Dec 1987 ,1969-01-01,1987-12-01,N,1944 - Current ,N,,Daily,French language newspaper.,,,1944,01/01/1944,31/12/1944,Present,,
137,Philanthropist,Philanthropist,Philanthropist,,137,N,,,CA,NB,Fredericton,HIL-MIC,"Apr 10, 1862 - July 2, 1863",1862-04-10,1863-07-02,N,Dec? 1861 - 1863,N,,Weekly,,,,Dec? 1861 ,01/12/1861,31/12/1861,1863,01/01/1863,12/07/1865
138,The Reporter and Fredericton Advertiser,Reporter and Fredericton Advertiser,Reporter and Fredericton Advertiser,,138,N,,,CA,NB,Fredericton,HIL-MIC,"Oct 6, 1888 - Dec 24, 1902",1888-10-06,1902-12-24,N,"Oct 6, 1888 - Dec 31, 1902",N,,Weekly,,,,"Oct 6, 1888 ",06/10/1888,,31-Dec-02,31/12/1902,
139,The Reporter and Temperance Journal,Reporter and Temperance Journal,Reporter and Fredericton Advertiser,,138,N,,,CA,NB,Fredericton,HIL-MIC,"Mar 24, 1888 - Sept 29, 1888",1888-03-24,1888-09-29,N,"Mar 24, 1888 - Sept 29, 1888",N,,Weekly,,,,"Mar 24, 1888 ",24/03/1888,,"Sept 29, 1888",29/09/1888,
140,The Cataract and Victoria County Weekly = La Cataracte,Cataract and Victoria County Weekly = La Cataracte,Cataract Weekly,,152,N,,,CA,NB,Grand Falls,HIL-MIC,"Nov 26, 1959 - Nov 23, 1961",1959-11-26,1961-11-23,N,"Nov 26, 1959 - Nov 23, 1961",N,,Weekly,Newspaper with both French and English content.,,,26-Nov-59,26/11/1959,,23-Nov-61,23/11/1961,
141,Southwest Valley Reporter,Southwest Valley Reporter,Southwest Valley Reporter,,141,N,0845-2253,,CA,NB,Fredericton,HIL-MIC,"Aug 18, 1988 - Feb 22, 1991",1988-07-18,1991-02-22,N,"Aug 18, 1988 - Feb 22, 1991",N,,,"Includes news coverage from Harvey and McAdam, New Brunswick as well.",,,18-Aug-88,18/08/1988,,22-Feb-91,22/02/1991,
142,The Agriculturalist,Agriculturalist,Agriculturalist,,132,N,1482-9312,,CA,NB,Fredericton,HIL-MIC,"Apr 20, 1878 - Sept 6, 1879",1878-04-20,1879-09-06,N,"Apr 13, 1878 - Sept 6, 1879",N,,Weekly,,,,"Apr 13, 1878 ",13/04/1878,,"Sept 6, 1879",06/09/1879,
143,Temperance Journal and New Brunswick Reporter,Temperance Journal and New Brunswick Reporter,Reporter and Fredericton Advertiser,,143,N,,,CA,NB,Fredericton,HIL-MIC,"Mar 17, 1888 - Aug 11, 1888",1888-03-17,1888-08-11,N,"Mar 17, 1888 - Aug 11, 1888",N,,Weekly,,,,"Mar 17, 1888 ",17/03/1888,,"Aug 11, 1888",11/08/1888,
144,The Weekly Herald,Weekly Herald,Weekly Herald,,128,N,1483-3050,,CA,NB,Fredericton,HIL-MIC,"[Dec 10, 1881 - Sept 28, 1882] ",1881-12-10,1882-09-28,Y,"Dec 10, 1881 - Dec 7, 1889?",Y,,Weekly,,,,"Dec 10, 1881 ",10/12/1881,,"Dec 7, 1889?",07/12/1889,
145,The Colonial Farmer,Colonial Farmer,Colonial Farmer,,132,N,1483-0175,,CA,NB,Fredericton,HIL-MIC,"July 6, 1863 - Apr 8, 1878",1863-07-06,1878-04-08,N,"July 6, 1863 - Apr? 1878",N,,Weekly,,,,"July 6, 1863 ",06/07/1863,,Apr? 1878,01/04/1878,30/04/1878
146,Queen's County Gazette,Queen's County Gazette,Queen's County Gazette,,146,N,1194-1898,,CA,NB,Gagetown,HIL-MIC,"Feb 10, 1897 - Sept 3, 1902",1897-02-10,1902-09-03,N,"Feb 10, 1897 - May 1907?",N,,Weekly,,,,"Feb 10, 1897 ",10/02/1897,,May 1907?,01/05/1907,31/05/1907
147,The Glassville News,Glassville News,Glassville News and Aberdeen and Kent Pioneer,,147,N,1483-2216,,CA,NB,Glassville,HIL-MIC,"[Sept 15, 1893 - May 1896]",1893-09-15,1896-05-01,Y,"Sept 15, 1893 - 1896?",N,,Monthly,,,,"Sept 15, 1893 ",15/09/1893,,1896?,01/01/1896,12/07/1898
148,Glassville News and Aberdeen and Kent Pioneer,Glassville News and Aberdeen and Kent Pioneer,Glassville News and Aberdeen and Kent Pioneer,,147,N,1483-2208,,CA,NB,Glassville,HIL-MIC,"[Mar 1893 - Aug 15, 1893]",1893-03-01,1893-08-15,Y,"Jan? 1893 - Aug 15, 1893",N,,Monthly,,,,Jan? 1893 ,01/01/1893,31/01/1893,"Aug 15, 1893",15/08/1893,
149,The Cataract = La Cataracte (1955),Cataract = La Cataracte (1955),Cataract Weekly,,152,N,,,CA,NB,Grand Falls,HIL-MIC,"Nov 17, 1955 - Nov 19, 1959",1955-11-17,1959-11-19,N,"Nov 17, 1955 - Nov 19, 1959",N,,Weekly,Newspaper with both French and English content.,,,17-Nov-55,17/11/1955,,19-Nov-59,19/11/1959,
